label,file_name,url
"Annual Budget Statement 2017 18","Annual_Budget_Statement_2017_18.pdf","https://www.finance.gov.pk/budget/Annual%20Budget%20Statement%202017-18.pdf"
"Budget In Brief 2017 18","Budget_In_Brief_2017_18.pdf","https://www.finance.gov.pk/budget/Budget%20in%20Brief%202017-18.pdf"
"Budget Speech English 2017 18","Budget_Speech_English_2017_18.pdf","https://www.finance.gov.pk/budget/budget_speech_english_2017_18.pdf"
"Budget Speech Urdu 2017 18","Budget_Speech_Urdu_2017_18.pdf","https://www.finance.gov.pk/budget/budget_speech_urdu_2017_18.pdf"
"Current Expenditure 2017 18","Current_Expenditure_2017_18.zip","https://www.finance.gov.pk/budget/Current_Expenditure_2017_18.zip"
"Development Expenditure 2017 18","Development_Expenditure_2017_18.zip","https://www.finance.gov.pk/budget/Development_Expenditure_2017_18.zip"
"Estimates Of Foreign Assistant 2017 18","Estimates_Of_Foreign_Assistant_2017_18.pdf","https://www.finance.gov.pk/budget/Estimates_of_Foreign_Assistant_2017_18.pdf"
"Explanatory Memorandum 2017 18","Explanatory_Memorandum_2017_18.pdf","https://www.finance.gov.pk/budget/Explanatory_Memorandum_2017_18.pdf"
"Mtbf 2017 20","Mtbf_2017_20.pdf","https://www.finance.gov.pk/budget/mtbf_2017_20.pdf"
"White Book 2017 18","White_Book_2017_18.zip","https://www.finance.gov.pk/budget/White_Book_2017_18.zip"
