label,file_name,url
"Agriculture","Agriculture.pdf","https://www.finance.gov.pk/survey/chapters_21/02-Agriculture.pdf"
"Annex I Contingent Liabilities","Annex_I_Contingent_Liabilities.pdf","https://www.finance.gov.pk/survey/chapters_21/Annex%20I%20Contingent%20liabilities.pdf"
"Annex Ii Tax Expenditure","Annex_Ii_Tax_Expenditure.pdf","https://www.finance.gov.pk/survey/chapters_21/Annex%20II%20Tax%20expenditure.pdf"
"Annex Iii Sezones","Annex_Iii_Sezones.pdf","https://www.finance.gov.pk/survey/chapters_21/Annex%20III%20SEZones.pdf"
"Annex Iv Covid","Annex_Iv_Covid.pdf","https://www.finance.gov.pk/survey/chapters_21/Annex%20IV%20Covid.pdf"
"Capital Markets","Capital_Markets.pdf","https://www.finance.gov.pk/survey/chapters_21/06-Capital%20markets.pdf"
"Climate Change","Climate_Change.pdf","https://www.finance.gov.pk/survey/chapters_21/16-Climate%20change.pdf"
"Economic Indicators","Economic_Indicators.pdf","https://www.finance.gov.pk/survey/chapters_21/Economic_Indicators.pdf"
"Education","Education.pdf","https://www.finance.gov.pk/survey/chapters_21/10-Education.pdf"
"Energy","Energy.pdf","https://www.finance.gov.pk/survey/chapters_21/14-Energy.pdf"
"Fiscal","Fiscal.pdf","https://www.finance.gov.pk/survey/chapters_21/04-Fiscal.pdf"
"Growth","Growth.pdf","https://www.finance.gov.pk/survey/chapters_21/01-Growth.pdf"
"Health","Health.pdf","https://www.finance.gov.pk/survey/chapters_21/11-Health.pdf"
"Inflation","Inflation.pdf","https://www.finance.gov.pk/survey/chapters_21/07-Inflation.pdf"
"Manufacturing","Manufacturing.pdf","https://www.finance.gov.pk/survey/chapters_21/03-Manufacturing.pdf"
"Money And Credit","Money_And_Credit.pdf","https://www.finance.gov.pk/survey/chapters_21/05-Money%20and%20Credit.pdf"
"Overview","Overview.pdf","https://www.finance.gov.pk/survey/chapters_21/Overview.pdf"
"Pes 2020 21","Pes_2020_21.pdf","https://www.finance.gov.pk/survey/chapters_21/PES_2020_21.pdf"
"Population","Population.pdf","https://www.finance.gov.pk/survey/chapters_21/12-Population.pdf"
"Public Debt","Public_Debt.pdf","https://www.finance.gov.pk/survey/chapters_21/09-Public%20debt.pdf"
"Social Protection","Social_Protection.pdf","https://www.finance.gov.pk/survey/chapters_21/15-Social%20Protection.pdf"
"Statistical Supplement","Statistical_Supplement.pdf","https://www.finance.gov.pk/supplement_2020_21.pdf"
"Supplement 2017 18","Supplement_2017_18.pdf","https://www.finance.gov.pk/Supplement_2017_18.pdf"
"Supplement 2018 19","Supplement_2018_19.pdf","https://www.finance.gov.pk/Supplement_2018_19.pdf"
"Supplement 2019 20","Supplement_2019_20.pdf","https://www.finance.gov.pk/Supplement_2019_20.pdf"
"Supplement 2020 21","Supplement_2020_21.pdf","https://www.finance.gov.pk/Supplement_2020_21.pdf"
"Supplement 2021 22","Supplement_2021_22.pdf","https://www.finance.gov.pk/supplement_2021_22.pdf"
"Trade And Payments","Trade_And_Payments.pdf","https://www.finance.gov.pk/survey/chapters_21/08-Trade%20and%20payments.pdf"
"Transport","Transport.pdf","https://www.finance.gov.pk/survey/chapters_21/13-Transport.pdf"
