label,file_name,url
"7 Regular And Technical Supplementary Grants","7_Regular_And_Technical_Supplementary_Grants.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/7_Regular_and_Technical_Supplementary_Grants.pdf"
"8 Excess Demands For Grants And Appropriations","8_Excess_Demands_For_Grants_And_Appropriations.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/8_Excess_Demands_for_Grants_and_Appropriations.pdf"
"Annual Budget Statement English","Annual_Budget_Statement_English.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Annual_Budget_Statement_English.pdf"
"Annual Budget Statement Urdu","Annual_Budget_Statement_Urdu.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Annual_Budget_Statement_Urdu.pdf"
"Budget In Brief English","Budget_In_Brief_English.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Budget_in_Brief_English.pdf"
"Budget In Brief Urdu","Budget_In_Brief_Urdu.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Budget_in_Brief_Urdu.pdf"
"Budget Speech English 2022 23","Budget_Speech_English_2022_23.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Budget_Speech_english_2022_23.pdf"
"Budget Speech Urdu 2022 23","Budget_Speech_Urdu_2022_23.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Budget_Speech_urdu_2022_23.pdf"
"Demands For Grants And Appropriations","Demands_For_Grants_And_Appropriations.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Demands_for_Grants_and_Appropriations.pdf"
"Details Of Demands For Grants And Appropriations Vol I Current","Details_Of_Demands_For_Grants_And_Appropriations_Vol_I_Current.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Details_of_Demands_for_Grants_and_Appropriations_Vol_I_Current.pdf"
"Details Of Demands For Grants And Appropriations Vol Ii Current","Details_Of_Demands_For_Grants_And_Appropriations_Vol_Ii_Current.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Details_of_Demands_for_Grants_and_Appropriations_Vol_II_Current.pdf"
"Details Of Demands For Grants And Appropriations Vol Iii Current","Details_Of_Demands_For_Grants_And_Appropriations_Vol_Iii_Current.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Details_of_Demands_for_Grants_and_Appropriations_Vol_III_Current.pdf"
"Details Of Demands For Grants And Appropriations Vol Iv Development","Details_Of_Demands_For_Grants_And_Appropriations_Vol_Iv_Development.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Details_of_Demands_for_Grants_and_Appropriations_Vol_IV_Development.pdf"
"Explanatory Memorandum On Federal Receipts","Explanatory_Memorandum_On_Federal_Receipts.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Explanatory_Memorandum_on_Federal_Receipts.pdf"
"Mtbsp 2022 23 2024 25","Mtbsp_2022_23_2024_25.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/MTBSP_2022_23___2024_25.pdf"
"Performance Based Budget Fy 2022 23 To 2024 25","Performance_Based_Budget_Fy_2022_23_To_2024_25.pdf","https://www.finance.gov.pk/budget/Budget_2022_23/Performance_Based_Budget_FY_2022_23_to_2024_25.pdf"
