label,file_name,url
"Annual Budget Statement","Annual_Budget_Statement.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Annual_Budget_Statement.pdf"
"Budget In Brief","Budget_In_Brief.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Budget_in_Brief.pdf"
"Budget Speech Urdu","Budget_Speech_Urdu.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Budget_Speech_Urdu.pdf"
"Demands For Grants And Appropriations 2024 25","Demands_For_Grants_And_Appropriations_2024_25.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Demands_for_Grants_and_Appropriations_2024_25.pdf"
"Details Of Demands For Grants Appropriations (Vol I) Current","Details_Of_Demands_For_Grants_Appropriations_(Vol_I)_Current.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Details_of_Demands_for_Grants_Appropriations_(Vol-I)_Current.pdf"
"Details Of Demands For Grants Appropriations (Vol Ii) Current","Details_Of_Demands_For_Grants_Appropriations_(Vol_Ii)_Current.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Details_of_Demands_for_Grants_Appropriations_(Vol-II)_Current.pdf"
"Details Of Demands For Grants Appropriations (Vol Iii) Current","Details_Of_Demands_For_Grants_Appropriations_(Vol_Iii)_Current.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Details_of_Demands_for_Grants_Appropriations_(Vol-III)_Current.pdf"
"Details Of Demands For Grants Appropriations (Vol Iv) Development","Details_Of_Demands_For_Grants_Appropriations_(Vol_Iv)_Development.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Details_of_Demands_for_Grants_Appropriations_(Vol-IV)_Development.pdf"
"Excess Demands For Grants Appropriations","Excess_Demands_For_Grants_Appropriations.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Excess_Demands_for_Grants_Appropriations.pdf"
"Explanatory Memorandum On Federal Receipts","Explanatory_Memorandum_On_Federal_Receipts.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Explanatory_Memorandum_on_Federal_Receipts.pdf"
"Medium Term Performance Based Budget","Medium_Term_Performance_Based_Budget.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Medium_Term_Performance_Based_Budget.pdf"
"Regular Technical Supplementary Grants","Regular_Technical_Supplementary_Grants.pdf","https://www.finance.gov.pk/budget/Budget_2024_25/Regular_Technical_Supplementary_Grants.pdf"
