label,file_name,url
"Abs 2016 17","Abs_2016_17.pdf","https://www.finance.gov.pk/budget/abs_2016_17.pdf"
"Budget In Brief 2016 17","Budget_In_Brief_2016_17.pdf","https://www.finance.gov.pk/budget/Budget_in_Brief_2016_17.pdf"
"Budget Speech English 2016 17","Budget_Speech_English_2016_17.pdf","https://www.finance.gov.pk/budget/budget_speech_english_2016_17.pdf"
"Budget Speech Urdu 2016 17","Budget_Speech_Urdu_2016_17.pdf","https://www.finance.gov.pk/budget/budget_speech_urdu_2016_17.pdf"
"Current Expenditures 2016 17","Current_Expenditures_2016_17.zip","https://www.finance.gov.pk/budget/Current_Expenditures_2016_17.zip"
"Development Expenditures 2016 17","Development_Expenditures_2016_17.zip","https://www.finance.gov.pk/budget/Development_Expenditures_2016_17.zip"
"Exp Memorandum 2016 17","Exp_Memorandum_2016_17.pdf","https://www.finance.gov.pk/budget/exp_memorandum_2016_17.pdf"
"Foreign Assistance 2016 17","Foreign_Assistance_2016_17.pdf","https://www.finance.gov.pk/budget/foreign_assistance_2016_17.pdf"
"Mtbf 2016 19","Mtbf_2016_19.pdf","https://www.finance.gov.pk/budget/mtbf_2016_19.pdf"
"White Book 2016 17","White_Book_2016_17.zip","https://www.finance.gov.pk/budget/White_Book_2016_17.zip"
