label,file_name,url
"Abs Eng 10062025","Abs_Eng_10062025.pdf","https://www.finance.gov.pk/budget/budget_2025_26/abs_eng_10062025.pdf"
"Abs Urdu 10062025","Abs_Urdu_10062025.pdf","https://www.finance.gov.pk/budget/budget_2025_26/abs_urdu_10062025.pdf"
"Budget In Brief 10062025","Budget_In_Brief_10062025.pdf","https://www.finance.gov.pk/budget/budget_2025_26/budget_in_brief_10062025.pdf"
"Budget In Brief Urdu 10062025","Budget_In_Brief_Urdu_10062025.pdf","https://www.finance.gov.pk/budget/budget_2025_26/budget_in_brief_urdu_10062025.pdf"
"Budget Speech Urdu 10062025","Budget_Speech_Urdu_10062025.pdf","https://www.finance.gov.pk/budget/budget_2025_26/budget_speech_urdu_10062025.pdf"
"Demands For Grants Appropriations 10062025","Demands_For_Grants_Appropriations_10062025.pdf","https://www.finance.gov.pk/budget/budget_2025_26/demands_for_grants_appropriations_10062025.pdf"
"Detail Demands For Grants Vol 1","Detail_Demands_For_Grants_Vol_1.pdf","https://www.finance.gov.pk/budget/budget_2025_26/detail_demands_for_grants_vol_1.pdf"
"Detail Demands For Grants Vol 2","Detail_Demands_For_Grants_Vol_2.pdf","https://www.finance.gov.pk/budget/budget_2025_26/detail_demands_for_grants_vol_2.pdf"
"Detail Demands For Grants Vol 3","Detail_Demands_For_Grants_Vol_3.pdf","https://www.finance.gov.pk/budget/budget_2025_26/detail_demands_for_grants_vol_3.pdf"
"Detail Demands For Grants Vol 4","Detail_Demands_For_Grants_Vol_4.pdf","https://www.finance.gov.pk/budget/budget_2025_26/detail_demands_for_grants_vol_4.pdf"
"Excess Demands Grants 2025 26","Excess_Demands_Grants_2025_26.pdf","https://www.finance.gov.pk/budget/budget_2025_26/excess_demands_grants_2025_26.pdf"
"Explanatory Memorandum On Federal Receipts 10062025","Explanatory_Memorandum_On_Federal_Receipts_10062025.pdf","https://www.finance.gov.pk/budget/budget_2025_26/explanatory_memorandum_on_federal_receipts_10062025.pdf"
"Medium Term Performance Budget 10062025","Medium_Term_Performance_Budget_10062025.pdf","https://www.finance.gov.pk/budget/budget_2025_26/medium_term_performance_budget_10062025.pdf"
"Regular Technical Supplementary Grants","Regular_Technical_Supplementary_Grants.pdf","https://www.finance.gov.pk/budget/budget_2025_26/regular_technical_supplementary_grants.pdf"
