label,file_name,url
"Agriculture","Agriculture.pdf","https://www.finance.gov.pk/survey/chapters_19/2-Agriculture.pdf"
"Annex I","Annex_I.pdf","https://www.finance.gov.pk/survey/chapters_19/Annex%20I.pdf"
"Annex Ii","Annex_Ii.pdf","https://www.finance.gov.pk/survey/chapters_19/Annex%20II.pdf"
"Captial Markets","Captial_Markets.pdf","https://www.finance.gov.pk/survey/chapters_19/6-Captial%20Markets.pdf"
"Climate Change","Climate_Change.pdf","https://www.finance.gov.pk/survey/chapters_19/16-Climate%20Change.pdf"
"Economic Indicators 1819","Economic_Indicators_1819.pdf","https://www.finance.gov.pk/survey/chapters_19/Economic%20Indicators%201819.pdf"
"Economic Survey 2018 19","Economic_Survey_2018_19.pdf","https://www.finance.gov.pk/survey/chapters_19/Economic_Survey_2018_19.pdf"
"Education","Education.pdf","https://www.finance.gov.pk/survey/chapters_19/10-Education.pdf"
"Energy","Energy.pdf","https://www.finance.gov.pk/survey/chapters_19/14-Energy.pdf"
"Fiscal Development","Fiscal_Development.pdf","https://www.finance.gov.pk/survey/chapters_19/4-Fiscal%20Development.pdf"
"Growth","Growth.pdf","https://www.finance.gov.pk/survey/chapters_19/1-Growth.pdf"
"Health And Nutrition","Health_And_Nutrition.pdf","https://www.finance.gov.pk/survey/chapters_19/11-Health%20and%20Nutrition.pdf"
"Inflaton","Inflaton.pdf","https://www.finance.gov.pk/survey/chapters_19/7-Inflaton.pdf"
"Manufacturing","Manufacturing.pdf","https://www.finance.gov.pk/survey/chapters_19/3-Manufacturing.pdf"
"Money And Credit","Money_And_Credit.pdf","https://www.finance.gov.pk/survey/chapters_19/5-Money%20and%20Credit.pdf"
"Overview Of The Economy","Overview_Of_The_Economy.pdf","https://www.finance.gov.pk/survey/chapters_19/Overview%20of%20the%20Economy.pdf"
"Population","Population.pdf","https://www.finance.gov.pk/survey/chapters_19/12-Population.pdf"
"Public Debt","Public_Debt.pdf","https://www.finance.gov.pk/survey/chapters_19/9-Public%20Debt.pdf"
"Social Protection","Social_Protection.pdf","https://www.finance.gov.pk/survey/chapters_19/15-Social%20Protection.pdf"
"Statistical Supplement","Statistical_Supplement.pdf","https://www.finance.gov.pk/supplement_2018_19.pdf"
"Supplement 2017 18","Supplement_2017_18.pdf","https://www.finance.gov.pk/Supplement_2017_18.pdf"
"Supplement 2018 19","Supplement_2018_19.pdf","https://www.finance.gov.pk/Supplement_2018_19.pdf"
"Supplement 2019 20","Supplement_2019_20.pdf","https://www.finance.gov.pk/Supplement_2019_20.pdf"
"Supplement 2020 21","Supplement_2020_21.pdf","https://www.finance.gov.pk/Supplement_2020_21.pdf"
"Supplement 2021 22","Supplement_2021_22.pdf","https://www.finance.gov.pk/supplement_2021_22.pdf"
"Trade And Payments","Trade_And_Payments.pdf","https://www.finance.gov.pk/survey/chapters_19/8-Trade%20and%20payments.pdf"
"Transport","Transport.pdf","https://www.finance.gov.pk/survey/chapters_19/13-Transport.pdf"
