label,file_name,url
"Annual Budget Statement 2019 20","Annual_Budget_Statement_2019_20.pdf","https://www.finance.gov.pk/budget/Annual_Budget_Statement_2019_20.pdf"
"Budget In Brief 2019 20","Budget_In_Brief_2019_20.pdf","https://www.finance.gov.pk/budget/Budget_in_Brief_2019_20.pdf"
"Budget Speech English 2019 20","Budget_Speech_English_2019_20.pdf","https://www.finance.gov.pk/budget/budget_speech_english_2019_20.pdf"
"Demands For Grants And Appropriations 2019 20 White Book","Demands_For_Grants_And_Appropriations_2019_20_White_Book.pdf","https://www.finance.gov.pk/budget/Demands_for_Grants_and_Appropriations_2019_20_White_Book.pdf"
"Estimates Of Foreign Assistance 2019 20","Estimates_Of_Foreign_Assistance_2019_20.pdf","https://www.finance.gov.pk/budget/Estimates_of_Foreign_Assistance_2019_20.pdf"
"Explanatory Memorandum 2019 20","Explanatory_Memorandum_2019_20.pdf","https://www.finance.gov.pk/budget/Explanatory_Memorandum_2019_20.pdf"
"Mtbf 2019 22","Mtbf_2019_22.pdf","https://www.finance.gov.pk/budget/mtbf_2019_22.pdf"
