label,file_name,url
"Annual Budget Statement","Annual_Budget_Statement.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Annual_Budget_Statement.pdf"
"Annual Budget Statement Urdu","Annual_Budget_Statement_Urdu.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Annual_Budget_Statement_Urdu.pdf"
"Budget In Brief","Budget_In_Brief.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Budget_in_Brief.pdf"
"Budget In Brief Urdu","Budget_In_Brief_Urdu.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Budget_in_Brief_Urdu.pdf"
"Demands For Grants And Appropriations","Demands_For_Grants_And_Appropriations.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Demands_for_Grants_and_Appropriations.pdf"
"Explanatory Memorandum On Federal Receipts R","Explanatory_Memorandum_On_Federal_Receipts_R.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Explanatory_Memorandum_on_Federal_Receipts_R.pdf"
"Medium Term Performance Based Budget","Medium_Term_Performance_Based_Budget.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Medium_Term_Performance_Based_Budget.pdf"
"Medium Term Strategy 2023 24","Medium_Term_Strategy_2023_24.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Medium_Term_Strategy_2023_24.pdf"
"Pfm Act 2019 30June2023","Pfm_Act_2019_30June2023.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/PFM_Act_2019_30June2023.pdf"
"Speech English 2023 24","Speech_English_2023_24.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Speech_english_2023_24.pdf"
"Speech Urdu 2023 24","Speech_Urdu_2023_24.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Speech_urdu_2023_24.pdf"
"Vol I","Vol_I.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Vol_I.pdf"
"Vol Ii","Vol_Ii.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Vol_II.pdf"
"Vol Iii","Vol_Iii.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Vol_III.pdf"
"Vol Iv","Vol_Iv.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Vol_IV.pdf"
"Windup Speech 2023 24 Urdu","Windup_Speech_2023_24_Urdu.pdf","https://www.finance.gov.pk/budget/Budget_2023_24/Windup_Speech_2023_24_urdu.pdf"
