label,file_name,url
"Abs 2015 16","Abs_2015_16.pdf","https://www.finance.gov.pk/budget/abs_2015_16.pdf"
"Budget In Brief 2015 16","Budget_In_Brief_2015_16.pdf","https://www.finance.gov.pk/budget/Budget_in_Brief_2015_16.pdf"
"Budget Speech English 2015 16","Budget_Speech_English_2015_16.pdf","https://www.finance.gov.pk/budget/budget_speech_english_2015_16.pdf"
"Budget Speech Urdu 2015 16","Budget_Speech_Urdu_2015_16.pdf","https://www.finance.gov.pk/budget/budget_speech_urdu_2015_16.pdf"
"Current Expenditures 2015 16","Current_Expenditures_2015_16.zip","https://www.finance.gov.pk/budget/Current_Expenditures_2015_16.zip"
"Development Expenditures 2015 16","Development_Expenditures_2015_16.zip","https://www.finance.gov.pk/budget/Development_Expenditures_2015_16.zip"
"Exp Memorandum 2015 16","Exp_Memorandum_2015_16.pdf","https://www.finance.gov.pk/budget/exp_memorandum_2015_16.pdf"
"Foreign Assistance 2015 16","Foreign_Assistance_2015_16.pdf","https://www.finance.gov.pk/budget/foreign_assistance_2015_16.pdf"
"Mtbe 2015 18","Mtbe_2015_18.pdf","https://www.finance.gov.pk/budget/mtbe_2015_18.pdf"
"White Book 2015 16","White_Book_2015_16.zip","https://www.finance.gov.pk/budget/White_Book_2015_16.zip"
