label,file_name,url
"Agriculture","Agriculture.pdf","https://www.finance.gov.pk/survey/chapters_16/02_Agriculture.pdf"
"Annexure I Contingent","Annexure_I_Contingent.pdf","https://www.finance.gov.pk/survey/chapters_16/Annexure_I_Contingent.pdf"
"Annexure Ii Tax Expenditure","Annexure_Ii_Tax_Expenditure.pdf","https://www.finance.gov.pk/survey/chapters_16/Annexure_II_Tax%20Expenditure.pdf"
"Annexure Iii Poverty","Annexure_Iii_Poverty.pdf","https://www.finance.gov.pk/survey/chapters_16/Annexure_III_Poverty.pdf"
"Annexure Iv War On Terror","Annexure_Iv_War_On_Terror.pdf","https://www.finance.gov.pk/survey/chapters_16/Annexure_IV_War_on_terror.pdf"
"Capital Markets","Capital_Markets.pdf","https://www.finance.gov.pk/survey/chapters_16/06_Capital_Markets.pdf"
"Economic Indicators","Economic_Indicators.pdf","https://www.finance.gov.pk/survey/chapters_16/Economic_Indicators.pdf"
"Education","Education.pdf","https://www.finance.gov.pk/survey/chapters_16/10_Education.pdf"
"Energy","Energy.pdf","https://www.finance.gov.pk/survey/chapters_16/14_Energy.pdf"
"Environment","Environment.pdf","https://www.finance.gov.pk/survey/chapters_16/16_Environment.pdf"
"Fiscal Development","Fiscal_Development.pdf","https://www.finance.gov.pk/survey/chapters_16/04_Fiscal_Development.pdf"
"Growth And Investment","Growth_And_Investment.pdf","https://www.finance.gov.pk/survey/chapters_16/01_Growth_and_Investment.pdf"
"Health","Health.pdf","https://www.finance.gov.pk/survey/chapters_16/11_Health.pdf"
"Highlights 2015 16","Highlights_2015_16.pdf","https://www.finance.gov.pk/survey/chapters_16/highlights_2015_16.pdf"
"Inflation","Inflation.pdf","https://www.finance.gov.pk/survey/chapters_16/07_Inflation.pdf"
"Manufacturing","Manufacturing.pdf","https://www.finance.gov.pk/survey/chapters_16/03_Manufacturing.pdf"
"Money And Credit","Money_And_Credit.pdf","https://www.finance.gov.pk/survey/chapters_16/05_Money_and_Credit.pdf"
"Overview Of The Economy","Overview_Of_The_Economy.pdf","https://www.finance.gov.pk/survey/chapters_16/Overview_of_the_Economy.pdf"
"Population","Population.pdf","https://www.finance.gov.pk/survey/chapters_16/12_Population.pdf"
"Public Debt","Public_Debt.pdf","https://www.finance.gov.pk/survey/chapters_16/09_Public_Debt.pdf"
"Research Team","Research_Team.pdf","https://www.finance.gov.pk/survey/chapters_16/Research_team.pdf"
"Social Safety","Social_Safety.pdf","https://www.finance.gov.pk/survey/chapters_16/15_Social_Safety.pdf"
"Statistical Supplement","Statistical_Supplement.zip","https://www.finance.gov.pk/supplement_2015_16.zip"
"Supplement 2017 18","Supplement_2017_18.pdf","https://www.finance.gov.pk/Supplement_2017_18.pdf"
"Supplement 2018 19","Supplement_2018_19.pdf","https://www.finance.gov.pk/Supplement_2018_19.pdf"
"Supplement 2019 20","Supplement_2019_20.pdf","https://www.finance.gov.pk/Supplement_2019_20.pdf"
"Supplement 2020 21","Supplement_2020_21.pdf","https://www.finance.gov.pk/Supplement_2020_21.pdf"
"Supplement 2021 22","Supplement_2021_22.pdf","https://www.finance.gov.pk/supplement_2021_22.pdf"
"Trade","Trade.pdf","https://www.finance.gov.pk/survey/chapters_16/08_Trade.pdf"
"Transport","Transport.pdf","https://www.finance.gov.pk/survey/chapters_16/13_Transport.pdf"
