label,file_name,url
"Agriculture","Agriculture.pdf","https://www.finance.gov.pk/survey/chapter_20/02_Agriculture.pdf"
"Annex I Contingent Liabilities","Annex_I_Contingent_Liabilities.pdf","https://www.finance.gov.pk/survey/chapter_20/Annex_I_Contingent_Liabilities.pdf"
"Annex Ii Tax Expenditure","Annex_Ii_Tax_Expenditure.pdf","https://www.finance.gov.pk/survey/chapter_20/Annex_II_Tax_expenditure.pdf"
"Annex Iii Covid 19 Advent And Impact Assesment","Annex_Iii_Covid_19_Advent_And_Impact_Assesment.pdf","https://www.finance.gov.pk/survey/chapter_20/Annex_III_COVID_19_Advent_and_Impact_Assesment.pdf"
"Capital Markets","Capital_Markets.pdf","https://www.finance.gov.pk/survey/chapter_20/06_Capital_Markets.pdf"
"Climate Change","Climate_Change.pdf","https://www.finance.gov.pk/survey/chapter_20/16_Climate_Change.pdf"
"Economic Indicators","Economic_Indicators.pdf","https://www.finance.gov.pk/survey/chapter_20/Economic_Indicators.pdf"
"Education","Education.pdf","https://www.finance.gov.pk/survey/chapter_20/10_Education.pdf"
"Energy","Energy.pdf","https://www.finance.gov.pk/survey/chapter_20/14_Energy.pdf"
"Executive Summary","Executive_Summary.pdf","https://www.finance.gov.pk/survey/chapter_20/Executive_Summary.pdf"
"Fiscal Development","Fiscal_Development.pdf","https://www.finance.gov.pk/survey/chapter_20/04_Fiscal_Development.pdf"
"Growth And Investment","Growth_And_Investment.pdf","https://www.finance.gov.pk/survey/chapter_20/01_Growth_and_Investment.pdf"
"Health And Nutrition","Health_And_Nutrition.pdf","https://www.finance.gov.pk/survey/chapter_20/11_Health_and_Nutrition.pdf"
"Inflation","Inflation.pdf","https://www.finance.gov.pk/survey/chapter_20/07_Inflation.pdf"
"Manufacturing And Mining","Manufacturing_And_Mining.pdf","https://www.finance.gov.pk/survey/chapter_20/03_Manufacturing_and_Mining.pdf"
"Money And Credit","Money_And_Credit.pdf","https://www.finance.gov.pk/survey/chapter_20/05_Money_and_Credit.pdf"
"Pes 2019 20","Pes_2019_20.pdf","https://www.finance.gov.pk/survey/chapter_20/PES_2019_20.pdf"
"Population Labour Force And Employment","Population_Labour_Force_And_Employment.pdf","https://www.finance.gov.pk/survey/chapter_20/12_Population_Labour_Force_and_Employment.pdf"
"Public Debt","Public_Debt.pdf","https://www.finance.gov.pk/survey/chapter_20/09_Public_Debt.pdf"
"Social Protection","Social_Protection.pdf","https://www.finance.gov.pk/survey/chapter_20/15_Social_Protection.pdf"
"Statistical Supplement","Statistical_Supplement.pdf","https://www.finance.gov.pk/supplement_2019_20.pdf"
"Supplement 2017 18","Supplement_2017_18.pdf","https://www.finance.gov.pk/Supplement_2017_18.pdf"
"Supplement 2018 19","Supplement_2018_19.pdf","https://www.finance.gov.pk/Supplement_2018_19.pdf"
"Supplement 2019 20","Supplement_2019_20.pdf","https://www.finance.gov.pk/Supplement_2019_20.pdf"
"Supplement 2020 21","Supplement_2020_21.pdf","https://www.finance.gov.pk/Supplement_2020_21.pdf"
"Supplement 2021 22","Supplement_2021_22.pdf","https://www.finance.gov.pk/supplement_2021_22.pdf"
"Trade And Payments","Trade_And_Payments.pdf","https://www.finance.gov.pk/survey/chapter_20/08_Trade_and_Payments.pdf"
"Transport And Communication","Transport_And_Communication.pdf","https://www.finance.gov.pk/survey/chapter_20/13_Transport_and_Communication.pdf"
