label,file_name,url
"Annual Budget Statement 2018 19","Annual_Budget_Statement_2018_19.pdf","https://www.finance.gov.pk/budget/Annual_Budget_Statement_2018_19.pdf"
"Budget In Brief 2018 19","Budget_In_Brief_2018_19.pdf","https://www.finance.gov.pk/budget/Budget_in_Brief_2018_19.pdf"
"Budget Speech English 2018 19","Budget_Speech_English_2018_19.pdf","https://www.finance.gov.pk/budget/budget_speech_english_2018_19.pdf"
"Budget Speech Urdu 2018 19","Budget_Speech_Urdu_2018_19.pdf","https://www.finance.gov.pk/budget/budget_speech_urdu_2018_19.pdf"
"Current Expenditure 2018 19","Current_Expenditure_2018_19.zip","https://www.finance.gov.pk/budget/Current_Expenditure_2018_19.zip"
"Development Expenditure 2018 19","Development_Expenditure_2018_19.zip","https://www.finance.gov.pk/budget/Development_Expenditure_2018_19.zip"
"Estimates Of Foreign Assistance 2018 19","Estimates_Of_Foreign_Assistance_2018_19.pdf","https://www.finance.gov.pk/budget/Estimates_of_Foreign_Assistance_2018_19.pdf"
"Explanatory Memorandum 2018 19","Explanatory_Memorandum_2018_19.pdf","https://www.finance.gov.pk/budget/Explanatory_Memorandum_2018_19.pdf"
"Mtbf 2018 21","Mtbf_2018_21.pdf","https://www.finance.gov.pk/budget/mtbf_2018_21.pdf"
"White Book 2018 19","White_Book_2018_19.zip","https://www.finance.gov.pk/budget/White_Book_2018_19.zip"
