label,file_name,url
"Agriculture","Agriculture.pdf","https://www.finance.gov.pk/survey/chapter_25/2_Agriculture.pdf"
"Annex I Contingent Liabilities","Annex_I_Contingent_Liabilities.pdf","https://www.finance.gov.pk/survey/chapter_25/annex_I_Contingent_Liabilities.pdf"
"Annex Ii Tax Expenditure","Annex_Ii_Tax_Expenditure.pdf","https://www.finance.gov.pk/survey/chapter_25/annex_II_Tax_Expenditure.pdf"
"Annex Iii National Accounts","Annex_Iii_National_Accounts.pdf","https://www.finance.gov.pk/survey/chapter_25/annex_III_National_Accounts.pdf"
"Capital Market","Capital_Market.pdf","https://www.finance.gov.pk/survey/chapter_25/6_Capital_Market.pdf"
"Climate Change","Climate_Change.pdf","https://www.finance.gov.pk/survey/chapter_25/17_Climate_Change.pdf"
"Education","Education.pdf","https://www.finance.gov.pk/survey/chapter_25/10_Education.pdf"
"Energy","Energy.pdf","https://www.finance.gov.pk/survey/chapter_25/14_Energy.pdf"
"Fiscal Development","Fiscal_Development.pdf","https://www.finance.gov.pk/survey/chapter_25/4_Fiscal_Development.pdf"
"Growth And Investment","Growth_And_Investment.pdf","https://www.finance.gov.pk/survey/chapter_25/1_Growth_and_Investment.pdf"
"Health And Nutrition","Health_And_Nutrition.pdf","https://www.finance.gov.pk/survey/chapter_25/11_Health_and_Nutrition.pdf"
"Highlights","Highlights.pdf","https://www.finance.gov.pk/survey/chapter_25/Highlights.pdf"
"Inflation","Inflation.pdf","https://www.finance.gov.pk/survey/chapter_25/7_Inflation.pdf"
"Information Technology","Information_Technology.pdf","https://www.finance.gov.pk/survey/chapter_25/15_Information_Technology.pdf"
"Manufacturing And Mining","Manufacturing_And_Mining.pdf","https://www.finance.gov.pk/survey/chapter_25/3_Manufacturing_and_Mining.pdf"
"Money And Credit","Money_And_Credit.pdf","https://www.finance.gov.pk/survey/chapter_25/5_Money_and_Credit.pdf"
"Overview 2024 25","Overview_2024_25.pdf","https://www.finance.gov.pk/survey/chapter_25/overview_2024_25.pdf"
"Population","Population.pdf","https://www.finance.gov.pk/survey/chapter_25/12_Population.pdf"
"Public Debt","Public_Debt.pdf","https://www.finance.gov.pk/survey/chapter_25/9_Public_Debt.pdf"
"Social Indicators","Social_Indicators.pdf","https://www.finance.gov.pk/survey/chapter_25/social_indicators.pdf"
"Social Protection","Social_Protection.pdf","https://www.finance.gov.pk/survey/chapter_25/16_Social_Protection.pdf"
"Statistical Supplement","Statistical_Supplement.zip","https://www.finance.gov.pk/economic/supplement_2024-25.zip"
"Supplement 2017 18","Supplement_2017_18.pdf","https://www.finance.gov.pk/Supplement_2017_18.pdf"
"Supplement 2018 19","Supplement_2018_19.pdf","https://www.finance.gov.pk/Supplement_2018_19.pdf"
"Supplement 2019 20","Supplement_2019_20.pdf","https://www.finance.gov.pk/Supplement_2019_20.pdf"
"Supplement 2020 21","Supplement_2020_21.pdf","https://www.finance.gov.pk/Supplement_2020_21.pdf"
"Supplement 2021 22","Supplement_2021_22.pdf","https://www.finance.gov.pk/supplement_2021_22.pdf"
"Trade And Payments","Trade_And_Payments.pdf","https://www.finance.gov.pk/survey/chapter_25/8_Trade_and_Payments.pdf"
"Transport And Communication","Transport_And_Communication.pdf","https://www.finance.gov.pk/survey/chapter_25/13_Transport_and_Communication.pdf"
