label,file_name,url
"Agriculture","Agriculture.pdf","https://www.finance.gov.pk/survey/chapters_18/02-Agriculture.pdf"
"Annex I Contingent Liabilities","Annex_I_Contingent_Liabilities.pdf","https://www.finance.gov.pk/survey/chapters_18/Annex_I_Contingent%20Liabilities.pdf"
"Annex Ii Tax Expenditure","Annex_Ii_Tax_Expenditure.pdf","https://www.finance.gov.pk/survey/chapters_18/Annex_II_Tax%20Expenditure.pdf"
"Annex Iii Poverty","Annex_Iii_Poverty.pdf","https://www.finance.gov.pk/survey/chapters_18/Annex_III_Poverty.pdf"
"Annex Iv Impact Of War","Annex_Iv_Impact_Of_War.pdf","https://www.finance.gov.pk/survey/chapters_18/Annex_IV_Impact%20of%20War.pdf"
"Captial Markets","Captial_Markets.pdf","https://www.finance.gov.pk/survey/chapters_18/06-Captial_Markets.pdf"
"Climate Change","Climate_Change.pdf","https://www.finance.gov.pk/survey/chapters_18/16-Climate_change.pdf"
"Economic Indicators 2018","Economic_Indicators_2018.pdf","https://www.finance.gov.pk/survey/chapters_18/Economic_Indicators_2018.pdf"
"Economic Survey 2017 18","Economic_Survey_2017_18.pdf","https://www.finance.gov.pk/survey/chapters_18/Economic_Survey_2017_18.pdf"
"Education","Education.pdf","https://www.finance.gov.pk/survey/chapters_18/10-Education.pdf"
"Energy","Energy.pdf","https://www.finance.gov.pk/survey/chapters_18/14-Energy.pdf"
"Fiscal","Fiscal.pdf","https://www.finance.gov.pk/survey/chapters_18/04-Fiscal.pdf"
"Growth","Growth.pdf","https://www.finance.gov.pk/survey/chapters_18/01-Growth.pdf"
"Health","Health.pdf","https://www.finance.gov.pk/survey/chapters_18/11-Health.pdf"
"Inflation","Inflation.pdf","https://www.finance.gov.pk/survey/chapters_18/07-Inflation.pdf"
"Manufacturing","Manufacturing.pdf","https://www.finance.gov.pk/survey/chapters_18/03-Manufacturing.pdf"
"Money And Credit","Money_And_Credit.pdf","https://www.finance.gov.pk/survey/chapters_18/05-Money_and_Credit.pdf"
"Overview 2017 18","Overview_2017_18.pdf","https://www.finance.gov.pk/survey/chapters_18/overview_2017-18.pdf"
"Population","Population.pdf","https://www.finance.gov.pk/survey/chapters_18/12-Population.pdf"
"Public Debt","Public_Debt.pdf","https://www.finance.gov.pk/survey/chapters_18/09-Public_Debt.pdf"
"Social Safety Nets","Social_Safety_Nets.pdf","https://www.finance.gov.pk/survey/chapters_18/15-Social_Safety_Nets.pdf"
"Statistical Supplement","Statistical_Supplement.pdf","https://www.finance.gov.pk/supplement_2017_18.pdf"
"Supplement 2017 18","Supplement_2017_18.pdf","https://www.finance.gov.pk/Supplement_2017_18.pdf"
"Supplement 2018 19","Supplement_2018_19.pdf","https://www.finance.gov.pk/Supplement_2018_19.pdf"
"Supplement 2019 20","Supplement_2019_20.pdf","https://www.finance.gov.pk/Supplement_2019_20.pdf"
"Supplement 2020 21","Supplement_2020_21.pdf","https://www.finance.gov.pk/Supplement_2020_21.pdf"
"Supplement 2021 22","Supplement_2021_22.pdf","https://www.finance.gov.pk/supplement_2021_22.pdf"
"Trade","Trade.pdf","https://www.finance.gov.pk/survey/chapters_18/08-Trade.pdf"
"Transport And Communications","Transport_And_Communications.pdf","https://www.finance.gov.pk/survey/chapters_18/13-Transport_and_Communications.pdf"
