label,file_name,url
"Agriculture","Agriculture.pdf","https://www.finance.gov.pk/survey/chapters_23/02_Agriculture.pdf"
"Annex I Contingent Liabilities","Annex_I_Contingent_Liabilities.pdf","https://www.finance.gov.pk/survey/chapters_23/Annex_I_Contingent_Liabilities.pdf"
"Annex Iii Pakistan Floods 2022","Annex_Iii_Pakistan_Floods_2022.pdf","https://www.finance.gov.pk/survey/chapters_23/Annex_III_Pakistan_Floods_2022.pdf"
"Annexii Tax Expenditure Fy 2023","Annexii_Tax_Expenditure_Fy_2023.pdf","https://www.finance.gov.pk/survey/chapters_23/AnnexII_Tax_Expenditure_FY_2023.pdf"
"Capital Markets","Capital_Markets.pdf","https://www.finance.gov.pk/survey/chapters_23/06_Capital%20Markets.pdf"
"Climate Change","Climate_Change.pdf","https://www.finance.gov.pk/survey/chapters_23/17_Climate_Change.pdf"
"Economic Survey 2022 23","Economic_Survey_2022_23.pdf","https://www.finance.gov.pk/survey/chapters_23/Economic_Survey_2022_23.pdf"
"Education","Education.pdf","https://www.finance.gov.pk/survey/chapters_23/10_Education.pdf"
"Energy","Energy.pdf","https://www.finance.gov.pk/survey/chapters_23/14_Energy.pdf"
"Fiscal Development","Fiscal_Development.pdf","https://www.finance.gov.pk/survey/chapters_23/04_Fiscal%20Development.pdf"
"Growth And Investment","Growth_And_Investment.pdf","https://www.finance.gov.pk/survey/chapters_23/01_Growth_and_Investment.pdf"
"Health","Health.pdf","https://www.finance.gov.pk/survey/chapters_23/11_Health.pdf"
"Highlights","Highlights.pdf","https://www.finance.gov.pk/survey/chapters_23/Highlights.pdf"
"Inflation","Inflation.pdf","https://www.finance.gov.pk/survey/chapters_23/07_Inflation.pdf"
"Information Technology","Information_Technology.pdf","https://www.finance.gov.pk/survey/chapters_23/15_Information_Technology.pdf"
"Key Indicators","Key_Indicators.pdf","https://www.finance.gov.pk/survey/chapters_23/key_Indicators.pdf"
"Manufacturing And Mining","Manufacturing_And_Mining.pdf","https://www.finance.gov.pk/survey/chapters_23/03_Manufacturing_and_Mining.pdf"
"Money And Credit","Money_And_Credit.pdf","https://www.finance.gov.pk/survey/chapters_23/05_Money%20and%20Credit.pdf"
"Overview Of The Economy","Overview_Of_The_Economy.pdf","https://www.finance.gov.pk/survey/chapters_23/Overview_of_the_Economy.pdf"
"Population","Population.pdf","https://www.finance.gov.pk/survey/chapters_23/12_Population.pdf"
"Public Debt","Public_Debt.pdf","https://www.finance.gov.pk/survey/chapters_23/09_Public_Debt.pdf"
"Social Protection","Social_Protection.pdf","https://www.finance.gov.pk/survey/chapters_23/16_Social_Protection.pdf"
"Statistical Supplement","Statistical_Supplement.zip","https://www.finance.gov.pk/supplement_2022_23.zip"
"Supplement 2017 18","Supplement_2017_18.pdf","https://www.finance.gov.pk/Supplement_2017_18.pdf"
"Supplement 2018 19","Supplement_2018_19.pdf","https://www.finance.gov.pk/Supplement_2018_19.pdf"
"Supplement 2019 20","Supplement_2019_20.pdf","https://www.finance.gov.pk/Supplement_2019_20.pdf"
"Supplement 2020 21","Supplement_2020_21.pdf","https://www.finance.gov.pk/Supplement_2020_21.pdf"
"Supplement 2021 22","Supplement_2021_22.pdf","https://www.finance.gov.pk/supplement_2021_22.pdf"
"Trade And Payments","Trade_And_Payments.pdf","https://www.finance.gov.pk/survey/chapters_23/08_Trade_and_Payments.pdf"
"Transport","Transport.pdf","https://www.finance.gov.pk/survey/chapters_23/13_Transport.pdf"
